id,lat,lon,dir,vel
0,31.29777709580217,121.43264764947988,169.19,0.0
1,31.298750686278378,121.43263253695783,358.98,3.57
2,31.29922699139172,121.43359128432446,81.23,7.3
3,31.299367695881415,121.43469137954779,79.25,3.73
4,31.29938253597281,121.43581358802408,99.36,4.22
5,31.298484705054925,121.4362986397483,184.03,11.11
6,31.29751304366409,121.43627066771566,179.25,11.1
7,31.296548301257452,121.43619560021449,180.05,11.29
8,31.29548977450695,121.43622575292784,175.97,8.35
9,31.294558385685765,121.43636711922395,166.91,6.15
10,31.293636238179197,121.43665177684086,168.61,6.77
11,31.29277618482544,121.43700357053734,115.15,2.7
12,31.293000224051205,121.43822809904705,68.66,9.62
13,31.293372070481027,121.43934645473269,71.65,10.04
14,31.29356209411359,121.44049495035915,74.86,10.25
15,31.29373217047199,121.44164050088146,78.91,10.51
16,31.293934345543978,121.44281818180431,76.95,11.49
17,31.294176308257434,121.44387062413632,72.97,3.31
18,31.294316368629044,121.44493114299839,73.48,1.54
19,31.293603151356127,121.44566899424211,170.86,13.25
20,31.292525966100193,121.44585554364002,167.02,13.44
21,31.29157482303937,121.44608619196187,169.27,14.06
22,31.290629771444735,121.44636095090755,160.8,4.09
23,31.289708597296666,121.44657957169677,171.67,4.19
24,31.288798385796632,121.44678115112829,171.71,4.88
25,31.28783505183531,121.44691256179895,170.8,4.8
26,31.286901684150088,121.44703294303058,166.14,3.99
27,31.285960205811858,121.44709818760593,175.99,9.11
28,31.285043756055305,121.44718147536508,176.38,15.15
29,31.28385145258929,121.44727982505621,175.14,17.71
30,31.282863049828574,121.4473701373003,176.14,18.83
31,31.281748685762587,121.44745344314876,175.61,21.86
32,31.280611355995866,121.44754777904913,174.94,21.32
33,31.27951814499131,121.44770627346352,169.8,19.69
34,31.278497069596632,121.44794195826077,165.07,20.0
35,31.277422372325766,121.44834307157822,159.6,21.1
36,31.276334004526532,121.44889157160421,154.22,21.55
37,31.27529092779608,121.44957743690765,149.49,22.69
38,31.27421098726336,121.45031044821853,149.58,22.86
39,31.273141072707148,121.45104849329535,150.1,23.03
40,31.27210411361373,121.45176449754294,150.83,22.62
41,31.271094037841397,121.45242637231463,150.25,20.42
42,31.270202848394447,121.45305416019877,150.17,19.08
43,31.26933947053705,121.45359973369087,153.72,18.38
44,31.268467940846598,121.45407412133204,157.69,17.99
45,31.267569173014316,121.45443821182072,162.27,16.68
46,31.26671438178899,121.45479829213943,160.69,16.44
47,31.26568180883872,121.455216556369,162.75,14.45
48,31.26469111016078,121.45558668701874,161.89,15.39
49,31.263622782140068,121.45609622606996,151.92,16.47
50,31.262685056961182,121.45687654064653,141.27,15.57
51,31.261841521697153,121.45774412193778,140.88,15.19
52,31.26085564252811,121.45843722961746,156.17,16.52
53,31.25999892751091,121.45880839330587,161.02,17.18
54,31.259121948393346,121.45906723162902,170.16,16.14
55,31.258040614767904,121.45914555599715,179.5,14.95
56,31.256945177032872,121.45917874837515,180.33,15.87
57,31.25581569099735,121.45918586664871,178.14,14.83
58,31.25479520523013,121.45921203183401,180.52,14.24
59,31.253681578136092,121.45916398571121,184.33,15.99
60,31.252505682760535,121.45899558990138,185.77,16.07
61,31.251394790254608,121.45883922486466,190.11,13.87
62,31.25042873648948,121.45864273030917,191.47,14.97
63,31.249323670546413,121.45841515799052,189.16,15.82
64,31.248195575870827,121.45817053963448,189.74,16.26
65,31.247086478036284,121.45792692462157,190.0,15.19
66,31.245985523252617,121.45774248285188,184.14,15.56
67,31.244812322308196,121.45785390787316,168.99,18.37
68,31.24388661853252,121.45821403767034,160.19,17.91
69,31.24299694236873,121.45859021585963,160.58,17.3
70,31.242028363624136,121.45898947363507,159.88,18.28
71,31.241086745669072,121.45937569580438,160.32,18.68
72,31.240205082938434,121.45975289090318,159.08,16.85
73,31.239116832522505,121.46025548310625,155.13,16.84
74,31.238282574956077,121.46079818225009,151.75,18.17
75,31.237407324392798,121.46133287012115,154.27,17.89
76,31.236505691223773,121.46170908772848,164.61,17.98
77,31.235617713668862,121.46195089918326,169.42,15.28
78,31.234620670771964,121.46214658109199,168.38,7.0
79,31.233658726478993,121.4623863960613,169.41,5.78
80,31.232679424959844,121.46248277500254,174.41,4.62
81,31.231766032347895,121.46255507480734,177.32,8.54
82,31.23080960142904,121.46260430777765,178.14,6.62
83,31.229776202017046,121.46265154129823,179.25,8.49
84,31.228768046843083,121.46279807740825,168.63,7.4
85,31.227874609731693,121.46324352461531,153.13,4.29
86,31.227049651067638,121.46388357511229,140.61,5.11
87,31.226320933347473,121.46462895842825,137.02,7.44
88,31.22565115707798,121.46535729921305,133.61,0.0
89,31.224976332400107,121.46606157935808,141.33,1.58
90,31.224206390640113,121.46670067394386,153.14,4.77
91,31.223352888944557,121.467112058824,162.42,3.09
92,31.22244184908108,121.46731077215429,177.42,2.2
93,31.22149131887961,121.46731887956194,188.46,3.5
94,31.220578178871307,121.46710527499071,192.39,4.27
95,31.21962986202731,121.46681844130072,193.94,4.17
96,31.218721672867705,121.46658577863501,192.97,3.05
97,31.21783944403294,121.46634208022881,193.42,1.89
98,31.21692822838563,121.46609738280299,189.11,3.74
99,31.216008347961715,121.46597708099942,180.13,7.63
100,31.21497630812192,121.46615372857407,163.21,12.22
101,31.214129863525063,121.46658717667103,151.13,13.79
102,31.213175981975752,121.4672102447301,150.27,16.87
103,31.21219022230909,121.46786944205431,150.57,15.08
104,31.211195060168333,121.4683741527574,159.44,14.46
105,31.210310427163247,121.46872235378136,163.19,12.71
106,31.2093696856204,121.46901939672685,162.33,12.93
107,31.208421226111344,121.46941777214104,162.61,14.69
108,31.20751857050436,121.46975093481338,161.8,13.01
109,31.206653885734735,121.47007908056446,160.97,12.04
110,31.20571641798281,121.47047244902423,162.94,10.23
111,31.204716780117845,121.47079158241841,162.14,12.43
112,31.203822071855246,121.47110268278547,162.88,12.76
113,31.202873445116104,121.4714328530061,162.38,13.57
114,31.20184004603444,121.47182925227561,163.33,16.13
115,31.20071181153135,121.47226679989986,162.22,15.97
116,31.199840047909767,121.47255784208033,161.52,16.77
117,31.19874411909341,121.47310776930593,154.1,16.9
118,31.1978820169399,121.47363460574863,152.57,17.28
119,31.19702588631805,121.47415041050938,154.36,17.89
120,31.196133526970264,121.47457692279073,160.52,17.87
121,31.195221959718882,121.47492517596952,161.27,17.44
122,31.194322397739022,121.47527644075964,162.58,18.43
123,31.193311961713544,121.47565179919896,161.47,19.29
124,31.192335529004733,121.47603317795088,161.39,18.98
125,31.19137112481975,121.4764255960796,161.16,18.44
126,31.1904476375015,121.47679493479468,161.36,18.34
127,31.189454190711903,121.47716528545344,161.75,19.48
128,31.188472778119973,121.47754868229696,161.46,19.17
129,31.187519334275315,121.47792505523866,161.05,18.37
130,31.186582890429936,121.47830343611074,161.32,18.55
131,31.1856263841752,121.47865573119329,161.25,19.18
132,31.18460609778676,121.47907225564813,162.42,21.16
133,31.183564743883423,121.479460687502,161.63,19.31
134,31.182621270762258,121.47982402643851,161.27,17.56
135,31.181510767937155,121.48014724234578,176.42,14.43
136,31.18051583729923,121.47999780839015,196.3,13.92
137,31.179648826167405,121.47949714712757,215.74,13.0
138,31.179000963938137,121.47873858122873,234.16,12.73
139,31.178536176134298,121.47768700349032,244.25,11.15
140,31.1780524799787,121.4766585259373,239.89,11.72
141,31.177467626836627,121.47555080817786,243.35,11.44
142,31.176872798882357,121.47444311565374,232.44,13.07
143,31.17632755386181,121.47354514629397,238.83,12.32
144,31.1758272334087,121.47262311038956,239.72,12.28
145,31.17542552885036,121.47157466716403,245.27,15.05
146,31.175051528642808,121.47041588542535,248.67,13.92
147,31.17469046979955,121.46922804079745,251.13,10.84
148,31.17436988488348,121.4682127840447,253.91,4.2
149,31.17344854772764,121.46791289789515,149.55,9.7
150,31.17262048045019,121.46847277212846,151.33,11.07
151,31.171753105841592,121.46890925789057,160.3,5.73
152,31.170841665654603,121.46931164141968,163.32,4.88
153,31.169904054113854,121.46964480565656,168.03,5.48
154,31.169013139136457,121.46987463123997,169.74,13.73
155,31.167998122354152,121.4700432687143,171.77,14.89
156,31.16698505919509,121.47019485090448,172.0,13.3
157,31.16604903994261,121.47037652563216,171.94,15.62
158,31.165128958664294,121.47053813396614,171.64,17.92
159,31.16415887133689,121.4706877076725,171.63,18.14
160,31.163200809247677,121.47084831715219,170.67,17.3
161,31.162038970233425,121.47105108339558,171.94,15.49
162,31.1610938293141,121.47118460385973,173.75,9.63
163,31.16006085974833,121.47136328119436,170.0,10.79
164,31.15907858786288,121.47144162359842,182.64,14.99
165,31.15804893686698,121.47137348662405,188.02,13.47
166,31.157161844064504,121.47117189769477,192.46,13.33
167,31.15617373643778,121.47094523587984,188.27,13.89
168,31.15519375033539,121.470763722894,190.89,13.5
169,31.154233818378383,121.47060528469922,189.8,12.81
170,31.153155205942408,121.47054016317571,176.72,12.74
171,31.15211702476646,121.4706395779594,171.02,14.99
172,31.151196980860522,121.47081122015686,169.53,10.25
173,31.15014013462834,121.47102802332542,170.25,10.76
174,31.149174233711594,121.4712418098854,168.94,5.27
175,31.14825355714895,121.47154488849678,149.49,8.42
176,31.148151829856605,121.47270474378283,78.12,11.94
177,31.148406048822476,121.47390372998382,79.68,9.84
178,31.148602218638892,121.47506562629847,80.06,9.83
179,31.148818029371128,121.47609710462248,71.31,5.43
180,31.147970483029926,121.47645037915964,170.69,11.82
181,31.146951080003365,121.47647053463272,179.86,14.94
182,31.146010881637935,121.47657697746057,168.63,11.77
183,31.144971100595196,121.47681086384536,175.25,14.24
184,31.143840767287383,121.47683403918245,180.38,15.62
185,31.14272418114138,121.47677091878599,188.91,15.83
186,31.14170467580287,121.47675394765676,167.83,13.59
187,31.14071633266201,121.47714938256847,166.33,15.23
188,31.139619251782506,121.4772658744078,185.71,14.99
189,31.138634741101622,121.47725291384113,166.8,13.12
190,31.137595594083464,121.47770555276361,167.99,12.4
191,31.136554463271587,121.47781401340596,174.22,14.61
192,31.135586161673896,121.47787630957268,183.52,12.27
193,31.1347059294861,121.47763054139527,196.94,12.35
194,31.133737298173052,121.47757744179201,166.16,9.39
195,31.132904811450025,121.4769011992294,264.95,11.36
196,31.132814409441735,121.47568908176545,263.55,8.04
197,31.13268909228587,121.47449204692089,259.39,13.74
198,31.132496097029968,121.47338835958253,259.89,13.5
199,31.132332233284984,121.4723298461635,254.64,11.85
200,31.132022640704445,121.47133357572294,213.61,2.98
201,31.13110860225858,121.471503213411,167.75,3.13
202,31.130223601930382,121.4716919122911,174.38,3.44
203,31.12932758925761,121.47187358967828,167.91,4.2
204,31.12841757971053,121.47205326235989,173.97,3.57
205,31.12751355966388,121.47222992526727,173.88,2.45
206,31.12657863837309,121.472435688186,171.0,6.81
207,31.12562875166727,121.47265048337131,167.32,9.13
208,31.124717691351936,121.47281009239785,172.3,7.89
209,31.123810724982707,121.47300381539613,166.22,6.96
210,31.122880794723578,121.47320556797769,171.47,4.83
211,31.121915750080813,121.47335916340747,168.6,5.29
212,31.120942887736167,121.47357597157429,173.91,5.73
213,31.120018901545123,121.47375765884978,169.57,8.41
214,31.119042902614694,121.47392430076424,168.96,4.9
215,31.118146996246104,121.47413909818978,168.85,9.0
216,31.117159127409973,121.47434888755075,166.08,9.71
217,31.116216198455653,121.47454563004214,172.05,7.47
218,31.115236240030956,121.47472431558467,170.97,7.55
219,31.11424041611682,121.47494715215466,168.42,8.49
220,31.113332471426745,121.47514389402762,169.67,9.54
221,31.112357541993042,121.47533261522236,171.46,8.36
222,31.112077825471584,121.47643437905721,70.51,8.1
223,31.112477658563115,121.47750299458504,57.13,8.56
224,31.113003029112946,121.4784291295426,63.22,7.91
225,31.113385754295578,121.47944660719183,67.01,6.63
226,31.113742635657747,121.4805082573523,67.94,4.18
227,31.114079416099184,121.48152677589457,93.05,3.3
228,31.1130563562677,121.48199851067011,163.89,11.26
229,31.11205492036242,121.48234480734368,165.05,8.4
230,31.111178311607297,121.4826549683438,162.97,12.87
231,31.110196853417875,121.48299624871137,163.11,13.37
232,31.109268311716452,121.48331845905763,162.67,5.82
233,31.10838170113108,121.48362461064391,163.38,12.31
234,31.107513129155944,121.48394681838253,163.63,10.8
235,31.10650469813191,121.48429011355017,162.47,10.59
236,31.105501251176094,121.48462839194285,163.66,11.14
237,31.10448685037514,121.48497971864961,163.22,11.77
238,31.103573318042436,121.4853049458322,163.08,14.43
239,31.102597860055795,121.48564322558973,163.13,11.45
240,31.10155151722684,121.48600660146737,163.94,12.96
241,31.10056806363885,121.48634388074056,164.13,14.98
242,31.099549672559878,121.4866952139651,163.41,13.0
243,31.09851136850328,121.48707163920317,164.19,12.0
244,31.097601779401774,121.48737579771927,162.72,13.28
245,31.09669121276957,121.48768698212398,161.03,2.49
